ชื่อหน่วยงาน,ตัวย่อหน่วยงาน,ลิงก์แบบสอบถาม
สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ,nesdc,https://nidawellbeing.vercel.app/?org=nesdc
กรมวิทยาศาสตร์บริการ,dss,https://nidawellbeing.vercel.app/?org=dss
กรมอุตุนิยมวิทยา,tmd,https://nidawellbeing.vercel.app/?org=tmd
กรมคุมประพฤติ,probation,https://nidawellbeing.vercel.app/?org=probation
กรมสุขภาพจิต,dmh,https://nidawellbeing.vercel.app/?org=dmh
สำนักงานนโยบายและแผนทรัพยากรธรรมชาติและสิ่งแวดล้อม,onep,https://nidawellbeing.vercel.app/?org=onep
สำนักงานการวิจัยแห่งชาติ (วช.),nrct,https://nidawellbeing.vercel.app/?org=nrct
สำนักงานคณะกรรมการพัฒนาระบบราชการ (ก.พ.ร.),opdc,https://nidawellbeing.vercel.app/?org=opdc
กรมชลประทาน,rid,https://nidawellbeing.vercel.app/?org=rid
กองฝึกอบรม กรมทางหลวง,doh,https://nidawellbeing.vercel.app/?org=doh
สำนักงานปลัดกระทรวงการท่องเที่ยวและกีฬา,mots,https://nidawellbeing.vercel.app/?org=mots
สำนักงานนโยบายและยุทธศาสตร์การค้า,tpso,https://nidawellbeing.vercel.app/?org=tpso
กรมส่งเสริมวัฒนธรรม,dcp,https://nidawellbeing.vercel.app/?org=dcp
สำนักงานมาตรฐานสินค้าเกษตรและอาหารแห่งชาติ,acfs,https://nidawellbeing.vercel.app/?org=acfs
