Commit,Timestamp,Detail,?????????????????????? (??????),Note
Commit ??? 1,2026-01-24 23:51:13 +0700,feat: add Google Sheets data collection and history view,???????????????: add ???????????????????????????????? Google Sheets and ???????????????????,hash=5b3b116; author=Antigravity Agent
Commit ??? 2,2026-01-25 00:02:47 +0700,feat: enforce login check and update footer text,???????????????: ?????????????????????????????????????????? and update footer text,hash=2b9abc6; author=Antigravity Agent
Commit ??? 3,2026-01-25 00:06:08 +0700,feat: switch to WHO BMI standards and add criteria note,???????????????: switch to who bmi standards and add criteria note,hash=f90a162; author=Antigravity Agent
Commit ??? 4,2026-01-25 00:13:38 +0700,chore: trigger deployment with correct user,??????????????????: trigger deployment with correct user,hash=2945dfd; author=Patchara
Commit ??? 5,2026-01-25 00:19:12 +0700,fix: redirect to welcome screen after logout,??????????: redirect to welcome screen after logout,hash=65e3ef4; author=Patchara
Commit ??? 6,2026-01-25 21:40:44 +0700,"feat: implement cloud draft sync, 24h time input, and progress bar v2","???????????????: implement cloud ???????????????????????????????????????????????, 24h ????????????, and ????????????????????????????????? v2",hash=15cdf13; author=Patchara Phongyeelar
Commit ??? 7,2026-01-25 21:45:50 +0700,feat: simplify time minutes to 15-min intervals,???????????????: simplify time minutes to 15-min intervals,hash=a150104; author=Patchara Phongyeelar
Commit ??? 8,2026-01-25 22:01:56 +0700,fix: use official google sign-in button for better ios compatibility,??????????: use official ??????????????????????????????????????????? Google button for better ????????????? Apple (iPhone/iPad) compatibility,hash=71eab28; author=Patchara Phongyeelar
Commit ??? 9,2026-01-25 22:10:20 +0700,"feat: major survey update - new structure, questions, and TMHI-15 scoring","???????????????: major survey update - new structure, questions, and ?????????????????????????????? TMHI-15",hash=1ec991b; author=Patchara Phongyeelar
Commit ??? 10,2026-01-25 22:16:21 +0700,feat: add admin dashboard with export and header setup features,???????????????: ??????????????????????????????????????????? with ?????????????????????? and header setup features,hash=d24a6a8; author=Patchara Phongyeelar
Commit ??? 11,2026-01-25 22:20:00 +0700,fix: improve admin error handling and debug logging,??????????: improve admin error handling and de?????????????????? logging,hash=38d6edd; author=Patchara Phongyeelar
Commit ??? 12,2026-01-25 22:24:03 +0700,fix: remove social card and improve ios login button rendering,??????????: remove social card and improve ????????????? Apple (iPhone/iPad) login button rendering,hash=0d22cc4; author=Patchara Phongyeelar
Commit ??? 13,2026-01-25 22:27:09 +0700,fix: add robust manual login fallback for ios/safari,??????????: add robust manual login fallback for ????????????? Apple (iPhone/iPad)/???????????????????????? Safari,hash=98ff3fc; author=Patchara Phongyeelar
Commit ??? 14,2026-01-25 23:26:25 +0700,"feat: Login UI, Title Selection, Review Flow","???????????????: login ?????????????, title selection, review flow",hash=e6d2e07; author=Patchara Phongyeelar
Commit ??? 15,2026-01-25 23:44:17 +0700,"Fix Google Login for Safari/iOS, update BMI display, reorder questions, fix Admin URL","??????????: google login for ???????????????????????? Safari/????????????? Apple (iPhone/iPad), update bmi display, reorder questions, fix admin url",hash=11f7ff8; author=Patchara Phongyeelar
Commit ??? 16,2026-01-25 23:48:56 +0700,Fix redirect URI to use origin only,??????????: redirect uri to use origin only,hash=0f3a082; author=Patchara Phongyeelar
Commit ??? 17,2026-01-25 23:50:58 +0700,Show Welcome page first with Google Login button,??????????: show welcome page first with google login button,hash=69fbd7f; author=Patchara Phongyeelar
Commit ??? 18,2026-01-26 00:04:45 +0700,"Fix iOS login with modal button, separate login and start buttons, add welcome buttons CSS","??????????: ????????????? Apple (iPhone/iPad) login with modal button, separate login and start buttons, add welcome buttons ??????????????????????",hash=371fd33; author=Patchara Phongyeelar
Commit ??? 19,2026-01-26 00:30:01 +0700,Add Supabase integration for cross-device sync,??????????: add ????????????????????????????????? integration for cross-device sync,hash=c3712fe; author=Patchara Phongyeelar
Commit ??? 20,2026-01-26 00:46:41 +0700,Fix iOS login: force manual redirect flow to avoid popup/mismatch issues,??????????: force manual redirect flow to avoid popup/mismatch issues,hash=b6d4f49; author=Patchara Phongyeelar
Commit ??? 21,2026-01-26 01:02:43 +0700,Add Admin Dashboard with Chart.js visualization,??????????: ??????????????????????????????????????????? with ???????????????????????????????????????? visualization,hash=c36526e; author=Patchara Phongyeelar
