"ฟังก์ชั่นการทำงาน","ส่วนของระบบ","เทคโนโลยีที่ใช้","ระยะเวลาที่ใช้พัฒนา (ประมาณการ)","สถานะ"
"หน้าต้อนรับและคำชี้แจงก่อนทำแบบสำรวจ","ผู้ใช้งาน (บุคลากร)","HTML5, CSS, Vanilla JavaScript","1 วัน","เสร็จสิ้น"
"ระบบล็อกอินและยืนยันตัวตนด้วยอีเมลก่อนเพื่อเข้าสู่ระบบ","ผู้ใช้งาน (บุคลากร)","Supabase Auth, JavaScript","1 วัน","เสร็จสิ้น"
"ระบบเข้าแบบฟอร์มตรงตามองค์กรด้วยลิงก์เฉพาะอัตโนมัติ","ผู้ใช้งาน (บุคลากร)","URL Parameters, JavaScript","0.5 วัน","เสร็จสิ้น"
"ระบบแสดงชื่อและจัดการการตั้งค่าแบบฟอร์มตามองค์กร","ผู้ใช้งาน (บุคลากร)","JavaScript DOM Manipulation","0.5 วัน","เสร็จสิ้น"
"การแสดงคำถามแบ่งเป็นส่วน (สุขภาพกาย, ใจ, สังคม, ฯลฯ)","ผู้ใช้งาน (บุคลากร)","JavaScript Form Renderer","3 วัน","เสร็จสิ้น"
"รองรับคำถามชนิดตัวเลือก เติมคำ วันเวลา สเกลประเมิน ฯลฯ","ผู้ใช้งาน (บุคลากร)","HTML5 Input Types, CSS","2 วัน","เสร็จสิ้น"
"ระบบบังคับและการตรวจคำตอบที่ถูกต้องก่อนให้ผ่านหน้าเว็บ","ผู้ใช้งาน (บุคลากร)","JavaScript Validation","1 วัน","เสร็จสิ้น"
"ระบบตารางจำข้อมูลแบบร่างอัตโนมัติ แม้ผู้ใช้ปิดเว็บไปก็ทำต่อได้","ผู้ใช้งาน (บุคลากร)","Browser LocalStorage","1.5 วัน","เสร็จสิ้น"
"การกู้คืนตำแหน่งหน้าแบบสอบถามและคำตอบล่าสุด","ผู้ใช้งาน (บุคลากร)","JavaScript State Management","1 วัน","เสร็จสิ้น"
"ป้องกันปัญหาเซิร์ฟเวอร์หน่วงด้วยการบล็อกกดยืนยันข้อมูลซ้ำ","ผู้ใช้งาน (บุคลากร)","JavaScript Debouncing","0.5 วัน","เสร็จสิ้น"
"ตัวจำข้อมูลออฟไลน์ชั่วคราว หากอินเทอร์เน็ตขาดหายยังกดทำต่อได้","ผู้ใช้งาน (บุคลากร)","Service Worker, Cache API","2 วัน","เสร็จสิ้น"
"ซิงก์ข้อมูลกลับสู่เครื่องแม่ข่ายอัตโนมัติเมื่ออินเทอร์เน็ตกลับมา","ผู้ใช้งาน (บุคลากร)","Background Sync API","1 วัน","กำลังพัฒนา"
"แบบประเมินความรู้สึกอ้างอิง UCLA Loneliness Scale (20 ข้อ)","ผู้ใช้งาน (บุคลากร)","JavaScript Array Mapping","1 วัน","เสร็จสิ้น"
"แบบประเมินสุขภาพจิต (TMHI-15) มาตรฐานของกรมสุขภาพจิต","ผู้ใช้งาน (บุคลากร)","Custom Scoring Logic","1 วัน","เสร็จสิ้น"
"หน้าจอสำหรับดาวน์โหลดและพิมพ์แบบสำรวจสรุปเป็นไฟล์เอกสาร PDF","ผู้ใช้งาน (บุคลากร)","Print CSS Media Queries","1 วัน","เสร็จสิ้น"

"การออกแบบฟอร์มระดับผู้ใช้สิทธิ์องค์กร CH1 (แบบหลายขั้นตอน)","ผู้ใช้งาน (HR องค์กร)","JavaScript Flow Control","4 วัน","เสร็จสิ้น"
"แถบแสดงความคืบหน้าการกรอกข้อมูลแต่ละขั้นให้ดูง่าย","ผู้ใช้งาน (HR องค์กร)","CSS Animations, JavaScript","0.5 วัน","เสร็จสิ้น"
"ระบบสูตรในการคำนวณคณิตศาสตร์ตัวแปรบุคลากรแบบเรียลไทม์","ผู้ใช้งาน (HR องค์กร)","JavaScript Real-time Math","1 วัน","เสร็จสิ้น"
"ระบบตัวช่วยคำนวณอัตราการลาออกและโอนย้ายของพนักงานตาราง 5 ปี","ผู้ใช้งาน (HR องค์กร)","JavaScript Calculations","1 วัน","เสร็จสิ้น"
"จุดตรวจดักจับการพิมพ์ตัวเลขขัดแย้ง ตัวเลขติดลบ และค่าที่ไม่ได้รูปแบบ","ผู้ใช้งาน (HR องค์กร)","Input Guards","0.5 วัน","เสร็จสิ้น"
"หน้าเว็บกราฟิกแบบอินเตอร์แอคทีฟสำหรับการจัดอันดับ 3 จุดเน้นพัฒนา","ผู้ใช้งาน (HR องค์กร)","Interactive Ranking UI","1 วัน","เสร็จสิ้น"
"ระบบการกดอัพโหลดไฟล์แผนความก้าวหน้าและการจัดการฝั่งเซิร์ฟเวอร์","ผู้ใช้งาน (HR องค์กร)","Supabase Storage API","1 วัน","เสร็จสิ้น"
"ปุ่มกดและฟังก์ชั่นบันทึกแบบร่างรายงาน CH1 ล่วงหน้าก่อนอนุมัติ","ผู้ใช้งาน (HR องค์กร)","Supabase Insert/Update","1 วัน","เสร็จสิ้น"
